Nombre,Codigo,Activo,Fecha creacion
"ABRACOL",,No,2026-05-18
"ALUM-WARE PRODUCTOS",,No,2026-04-06
"AMANCO",,No,2026-04-14
"AQUACORP",,No,2026-05-12
"ARCELORMITTAL COSTA RICA S.A",,No,2026-04-30
"ASSA ABLOY",,No,2026-04-06
"AUDIO ACCESORIOS",,No,2026-04-01
"AUTOREPUESTOS",,No,2026-04-07
"BAMERICA",,No,2026-04-09
"BANDERAS EL MUNDO",,No,2026-05-18
"BEST HARDWARE BUY CORP. BHB - USA",,No,2026-04-14
"BESTWAY ENTERPRISE COMPANY LIMITED",,No,2026-04-14
"BIA ALAMBRES",,No,2026-04-13
"BINTER TRADE",,No,2026-06-03
"BITUPLAST CA",,No,2026-04-21
"BOSCH",,No,2026-04-09
"BTICINO",,No,2026-03-30
"CELOVEN C.A",,No,2026-04-06
"CENTRAL PAPER AND SUPPLIES SA",,No,2026-04-13
"CERAMICAS MONFOCAR SL",,No,2026-04-09
"CHANGXING XINGREN IMP AND EXP CO., LTD",,No,2026-04-14
"CHIN HUEI PLASTIC INDUSTRIAL JOINT STOCK",,No,2026-04-29
"CLEVA INTERNATIONAL TRADING LIMITED",,No,2026-04-14
"COFLEX",,No,2026-01-15
"COFLEX MX",,No,2026-04-29
"COMERCIAL OR Y CIA LTDA",,No,2026-04-13
"COMERCIALIZADORA AGRO J.S.",,No,2026-04-06
"COMERCIALIZADORA DAOX",,No,2026-04-16
"COMERCIALIZADORA INTERNACIONAL SMART PRO",,No,2026-04-14
"COMERCIALIZADORA YANLI",,No,2026-04-06
"CONDUCEN",,No,2026-03-30
"CONSOLIDADO MEXICO",,No,2026-04-10
"CONSOLIDADO PANAMÁ",,No,2026-04-23
"CONSOLIDADO-ZONA FRANCA",,No,2026-04-23
"CORPORACION 2416 LLC (ITALY)",,No,2026-04-14
"CORPORACIÓN KORCLASS",,No,2026-04-06
"CORRUGADOS SAN BOSCO",,No,2026-04-13
"CORTINEROS LIDER S.A.S.",,No,2026-04-14
"CRUZ VERDE",,No,2026-04-01
"DEFCA PURISCAL SRL",,No,2026-04-22
"DELTA PLUS",,No,2026-04-06
"DELTA PLUS CENTROAMERICA SA",,No,2026-04-14
"DINGZHOU YIKANG METAL PRODUCTOS CO,. LTD",,No,2026-04-14
"DISORCA C.A",,No,2026-04-06
"DIST. 33 FERREXPRESS",,No,2026-04-06
"DIST. FIMASKA, C.A.",,No,2026-04-06
"DISTORBERA S.R.L",,No,2026-04-06
"DISTRIBUCIONES GLOBALES",,No,2026-03-30
"DISTRIBUIDORA EL KIT DEL PINTOR",,No,2026-04-06
"DNTX CORP",,No,2026-04-23
"DONGYANGHANGXIAO ELECTRICAL APPLIANCO CO",,No,2026-04-14
"DR HOUSE",,No,2026-05-18
"EAGLE",,No,2026-01-16
"EAGLE CD",,No,2026-04-22
"ECOCIELOS Y ESTRUCTURAS",,No,2026-04-21
"EINHELL",,No,2026-04-01
"EL ALMENDRO",,No,2026-04-29
"EL ORBE",,No,2026-04-15
"ELECTROINDUSTRIAL",,No,2026-05-18
"ELECTRONICA STEREN",,No,2026-04-14
"EMASALCORP DE COSTA RICA S.A",,No,2026-04-29
